# temperatura,vacuo,energia_knn,energia_rnn,energia_lr
15.62,58.59,456.28,456.25,459.91
14.40,40.20,467.54,467.44,467.98
9.86,37.83,472.83,475.21,476.51
23.84,63.47,444.48,444.48,444.28
22.53,58.62,449.02,449.02,448.10
7.18,38.56,487.63,487.63,480.84
13.68,44.47,467.90,467.82,467.82
25.41,65.12,443.60,442.77,441.06
25.24,68.28,438.83,438.17,440.32
28.01,44.89,441.74,442.28,443.21
26.87,69.23,433.89,433.89,437.23
14.01,39.00,466.70,466.70,469.04
16.23,43.52,464.74,464.74,463.78
7.06,41.38,487.71,487.71,480.13
11.72,41.54,473.87,473.00,472.12
14.14,43.34,465.02,466.50,467.40
12.45,40.10,473.16,472.39,471.34
27.72,69.88,434.02,434.02,435.57
3.20,41.31,486.69,487.85,486.75
12.12,38.28,470.39,470.39,472.50
19.95,57.25,453.03,453.03,452.95
9.33,42.49,479.67,478.05,475.89
14.87,54.30,462.87,462.87,462.59
25.45,57.32,441.30,441.30,443.54
16.23,43.69,466.22,466.22,463.72
20.09,61.27,448.00,449.78,451.40
16.66,36.71,466.07,466.07,465.26
12.26,43.48,467.83,467.83,470.57
23.32,69.23,436.18,436.18,443.29
24.88,49.16,446.91,445.71,447.17
15.38,43.99,463.24,464.15,465.07
18.16,39.99,461.16,461.16,461.63
27.26,66.56,434.88,434.88,437.44
7.41,40.71,483.51,482.44,479.75
2.34,39.42,490.34,490.34,488.83
13.96,40.83,466.48,467.63,468.53
29.91,74.90,434.93,434.93,430.19
10.02,39.66,480.05,480.05,475.64
27.71,75.23,440.70,440.70,433.84
12.54,40.10,475.02,475.02,471.19
17.66,44.90,457.11,457.11,460.88
11.60,40.69,474.99,474.99,472.60
28.42,75.23,435.64,435.64,432.63
16.22,50.88,454.94,454.94,461.39
18.21,41.85,468.40,468.40,460.94
12.78,44.60,471.88,469.91,469.31
29.82,43.21,439.22,437.76,440.67
25.58,64.45,447.16,447.16,440.99
30.22,68.30,434.30,434.30,431.81
20.06,62.10,449.45,449.69,451.18
29.07,71.64,440.51,440.51,432.69
31.46,71.29,430.80,430.80,428.72
20.98,60.10,450.95,450.95,450.26
27.44,66.56,428.00,428.00,437.13
26.99,62.26,436.89,436.89,439.30
29.10,73.90,436.56,436.56,431.90
6.92,41.26,483.53,483.20,480.41
14.26,44.20,466.48,466.46,466.92
26.44,54.20,444.78,444.78,442.86
15.85,49.69,464.72,464.72,462.41
15.55,42.03,460.84,460.84,465.42
19.18,50.12,444.56,444.56,456.59
11.87,41.78,471.45,472.18,471.79
10.53,40.64,477.18,475.91,474.45
14.54,43.14,465.45,465.45,466.78
14.77,44.47,464.25,464.25,465.96
21.79,61.45,446.99,446.99,448.44
10.62,39.96,470.80,470.80,474.51
14.72,38.91,468.87,468.87,467.86
26.38,66.49,442.38,442.38,438.96
8.85,40.43,477.18,478.44,477.38
29.45,75.60,437.31,437.31,430.75
30.39,71.80,435.82,435.82,430.38
21.99,57.50,448.93,447.70,449.39
16.48,68.28,449.70,449.70,455.28
19.32,52.84,450.88,450.88,455.46
29.49,69.71,440.99,440.99,432.60
22.86,66.48,435.56,435.56,444.98
30.29,71.58,433.77,432.81,430.63
22.21,60.77,444.57,444.57,447.94
26.48,73.06,433.31,433.31,436.65
23.70,62.91,444.99,444.99,444.70
24.34,73.50,440.29,440.29,440.16
3.60,35.19,488.91,488.90,488.06
13.47,43.34,468.80,468.80,468.55
37.11,68.94,429.09,429.69,419.84
33.43,69.88,432.68,432.37,425.82
11.11,40.55,476.37,476.37,473.49
11.87,44.60,468.47,468.47,470.87
27.60,69.05,436.08,436.08,436.04
13.74,39.35,471.11,471.11,469.39
5.41,40.07,495.24,495.24,483.38
17.01,44.20,462.93,461.30,462.22
26.12,70.47,434.67,434.67,438.11
30.34,71.25,431.18,431.18,430.65
7.79,43.13,483.48,482.63,478.31
23.63,58.98,444.43,444.43,446.10
21.97,58.95,443.61,443.61,448.95
12.18,40.10,472.81,472.92,471.80
27.06,77.17,432.20,432.20,434.32
12.53,44.03,470.04,470.04,469.93
13.95,41.49,465.24,465.24,468.33
6.30,39.33,489.26,486.28,482.10
24.35,51.86,448.14,447.28,447.19
11.75,35.76,472.73,472.90,473.95
22.05,61.27,447.95,447.95,448.06
26.52,43.77,440.31,440.31,446.12
24.17,71.58,437.60,436.83,441.08
7.53,41.16,480.11,481.31,479.40
20.38,66.54,448.93,448.93,449.19
16.72,44.34,465.89,465.89,462.67
29.04,60.07,439.47,439.47,436.51
21.67,62.39,451.12,448.00,448.34
11.67,37.73,472.54,472.94,473.45
5.79,39.61,485.55,486.06,482.88
23.48,66.49,439.69,441.04,443.91
28.33,78.92,432.67,432.67,431.58
29.42,74.90,434.66,434.66,431.03
10.17,41.46,480.87,480.87,474.79
22.53,62.39,446.72,446.06,446.87
16.82,49.15,458.02,457.26,460.93
22.95,63.94,447.13,447.13,445.65
16.85,39.64,464.20,464.20,463.98
23.71,67.17,442.68,441.62,443.30
13.72,49.83,463.65,463.65,466.01
23.56,73.67,439.27,439.27,441.44
10.57,36.71,472.62,472.62,475.66
14.43,44.84,467.45,467.45,466.42
31.68,73.68,431.56,432.18,427.57
7.54,37.70,483.76,483.46,480.51
14.07,43.34,465.30,466.71,467.52
11.27,40.62,476.67,475.22,473.19
9.30,43.14,477.02,477.02,475.73
14.98,43.99,462.32,462.32,465.76
17.68,40.89,462.08,462.08,462.16
7.66,41.92,485.11,485.11,478.93
24.17,71.25,439.28,437.25,441.18
24.44,72.99,435.47,435.47,440.16
20.26,51.19,449.34,451.00,454.39
14.64,53.82,463.18,463.18,463.14
23.82,60.32,444.30,443.45,445.34
27.60,67.25,439.83,437.09,436.63
10.48,39.58,472.61,472.61,474.88
17.38,43.14,459.02,459.02,461.93
15.45,61.27,456.59,456.59,459.33
16.85,41.35,463.37,463.37,463.42
9.30,38.18,478.96,478.90,477.35
23.74,52.30,447.51,447.09,448.09
22.76,49.21,448.73,448.73,450.77
9.00,41.54,477.86,478.15,476.77
18.21,41.23,457.53,457.53,461.14
3.38,39.64,488.92,488.92,486.98
9.76,41.01,467.60,467.60,475.64
28.68,61.86,440.57,440.57,436.54
27.01,43.21,442.06,442.40,445.47
26.88,59.21,437.11,437.11,440.48
16.69,44.78,456.17,456.17,462.58
23.22,63.07,445.10,444.95,445.47
14.43,41.76,467.33,467.33,467.42
17.27,40.55,461.31,461.31,462.97
9.83,41.17,478.21,478.21,475.47
21.96,69.94,441.93,441.11,445.38
16.56,42.99,464.62,464.62,463.38
10.40,42.44,480.04,480.04,474.08
9.55,43.99,476.06,476.06,475.03
32.13,69.98,431.84,431.84,428.01
9.88,37.83,470.44,470.44,476.47
23.09,63.76,445.52,445.31,445.47
30.71,68.27,428.27,428.27,430.99
12.21,41.67,466.49,470.65,471.24
18.90,60.07,451.50,451.50,453.83
12.99,41.93,472.95,472.95,469.83
19.48,58.66,449.48,450.14,453.29
22.86,60.08,442.26,444.27,447.06
11.96,43.41,469.34,469.34,471.10
18.48,58.59,452.52,452.52,455.02
16.59,39.54,464.15,463.45,464.46
27.43,64.96,431.21,431.21,437.67
14.13,40.75,467.79,467.43,468.26
31.31,64.44,438.14,438.14,431.21
23.86,59.21,442.03,443.47,445.64
27.19,71.32,432.62,433.16,436.00
15.55,39.63,463.23,465.20,466.20
18.03,53.16,457.22,457.22,457.56
17.74,49.69,457.05,457.05,459.19
26.64,69.13,430.41,430.41,437.66
32.36,73.91,431.92,431.92,426.33
27.98,71.98,428.44,428.44,434.44
22.55,70.79,436.43,436.43,444.10
26.85,75.60,433.48,433.48,435.19
24.39,63.77,438.04,442.45,443.24
25.64,68.08,436.24,436.90,439.71
10.36,43.67,477.75,477.75,473.75
20.18,43.43,458.05,457.84,457.06
26.80,58.84,445.76,445.76,440.74
11.77,40.00,475.49,475.49,472.54
24.63,63.90,440.23,440.23,442.79
10.11,42.49,483.56,483.56,474.56
20.72,68.61,447.89,447.89,447.94
24.43,58.05,445.80,444.33,445.04
21.53,59.80,450.44,447.43,449.42
14.66,47.83,461.46,461.46,465.05
13.24,54.30,468.60,467.97,465.37
29.56,52.84,436.46,436.46,437.98
13.61,42.34,465.91,465.91,468.63
27.14,75.23,439.33,439.33,434.82
10.84,40.27,479.22,479.22,474.04
12.72,39.13,473.05,471.95,471.20
23.72,70.47,438.50,438.50,442.21
30.26,72.58,434.31,432.75,430.35
8.58,38.38,482.26,482.26,478.51
16.55,46.18,461.18,460.37,462.36
25.86,76.20,438.75,438.75,436.69
21.12,63.56,445.90,447.51,448.90
18.27,65.94,451.48,451.01,452.99
16.72,44.78,453.39,453.39,462.53
24.66,69.94,432.68,432.68,440.77
28.57,65.27,440.51,440.51,435.62
23.63,63.57,449.01,449.01,444.61
25.55,58.95,442.30,442.30,442.83
23.68,49.02,440.68,440.68,449.26
12.68,41.40,471.35,470.54,470.53
12.91,42.07,466.05,466.05,469.92
33.97,72.29,434.10,433.66,424.11
10.72,45.00,480.62,480.62,472.70
6.63,39.42,488.37,486.05,481.50
13.48,39.85,475.74,475.74,469.67
6.65,39.33,490.41,490.41,481.50
30.08,73.42,434.95,434.95,430.39
22.11,59.80,450.62,450.62,448.43
25.65,69.45,437.72,436.54,439.24
14.51,44.84,465.09,465.09,466.28
27.11,48.60,439.48,440.76,443.54
30.96,71.77,425.66,425.66,429.42
11.22,40.22,481.07,475.27,473.41
24.62,72.24,432.13,432.13,440.09
31.13,64.05,439.24,439.24,431.64
20.65,57.50,448.22,448.22,451.67
23.89,65.18,438.97,438.97,443.64
21.48,61.27,450.88,450.88,449.03
21.93,57.17,448.75,448.75,449.60
14.54,41.16,463.90,463.90,467.43
16.27,44.21,462.49,462.51,463.48
22.76,49.02,442.84,442.84,450.83
32.77,72.86,433.84,433.84,425.97
16.50,49.39,461.18,460.53,461.40
26.29,68.24,434.95,436.22,438.54
23.73,63.94,443.89,444.15,444.32
29.25,78.87,432.70,432.76,430.03
18.96,44.58,461.96,461.96,458.77
22.92,58.62,446.77,446.03,447.43
30.13,68.94,441.78,441.78,431.76
10.34,37.50,473.54,474.34,475.79
11.92,41.20,476.00,476.00,471.89
18.45,42.44,463.07,461.88,460.34
7.20,40.35,484.90,484.90,480.23
28.11,77.95,432.44,433.22,432.27
23.81,46.93,449.58,449.58,449.72
15.21,50.88,460.49,460.52,463.12
14.24,44.84,466.67,466.67,466.74
30.28,79.74,431.35,431.37,427.99
25.21,60.37,436.23,436.23,442.95
22.10,68.12,443.52,443.29,445.74
23.79,48.06,447.59,447.59,449.39
6.67,39.33,490.03,490.03,481.46
29.41,59.27,441.32,441.80,436.14
17.76,40.55,462.13,462.19,462.13
12.54,43.69,470.04,470.04,470.02
18.89,66.86,454.02,454.02,451.63
17.68,44.92,458.12,458.12,460.84
25.34,64.27,444.04,443.05,441.46
16.86,39.63,464.76,463.83,463.97
12.08,40.24,474.33,473.39,471.93
25.52,61.25,435.48,435.48,442.14
9.28,41.38,477.96,477.79,476.34
13.51,43.22,465.89,465.89,468.52
11.87,41.58,464.77,464.77,471.85
11.77,40.71,472.93,473.49,472.31
27.64,75.60,438.49,436.76,433.84
17.78,52.08,453.93,456.22,458.34
17.70,38.52,459.86,462.26,462.89
13.86,41.58,461.56,461.56,468.45
13.08,41.74,467.82,468.96,469.73
8.82,34.69,481.44,481.44,479.30
13.11,42.99,471.02,468.94,469.28
10.74,41.46,479.94,479.94,473.82
10.42,43.79,476.89,476.38,473.61
8.47,40.46,478.41,479.52,478.02
32.89,66.44,431.54,431.54,427.86
7.05,40.69,486.95,483.80,480.37
19.04,68.28,444.54,444.54,450.91
11.12,41.54,477.69,477.69,473.15
9.41,39.61,478.85,478.06,476.69
19.17,52.90,456.14,455.11,455.70
21.16,45.38,454.88,454.62,454.75
19.66,59.87,446.28,446.28,452.59
17.19,43.14,464.72,464.72,462.26
6.22,39.85,443.73,443.73,482.06
9.15,39.61,479.80,478.67,477.14
21.18,44.57,449.93,449.93,454.98
25.06,78.92,434.55,434.55,437.17
20.76,44.58,462.01,462.01,455.69
18.91,45.01,456.12,456.12,458.71
28.69,58.33,448.54,448.54,437.67
24.23,49.30,440.65,440.65,448.23
23.62,56.85,442.96,442.96,446.81
22.89,62.39,448.13,448.13,446.26
30.33,70.36,435.59,434.46,430.96
31.59,43.50,438.00,434.33,437.55
22.69,48.14,448.09,447.65,451.24
8.99,36.66,481.03,481.03,478.37
11.48,44.58,478.53,478.53,471.54
13.02,40.10,474.97,474.97,470.37
31.38,70.83,431.33,431.33,429.01
32.57,65.74,440.56,440.56,428.63
29.14,75.23,434.82,434.82,431.40
24.98,71.98,432.06,432.06,439.56
13.77,43.13,468.45,468.45,468.10
21.69,57.17,448.21,448.62,450.01
25.88,61.47,445.65,445.65,441.45
16.51,41.79,457.74,457.74,463.86
20.79,50.66,454.78,454.78,453.66
9.18,42.44,481.09,479.58,476.17
26.51,67.25,435.52,435.52,438.49
31.54,72.58,427.31,427.31,428.17
28.37,71.64,434.91,434.91,433.89
10.39,40.22,479.14,479.14,474.82
14.58,42.99,467.75,466.43,466.77
21.69,44.57,454.80,454.08,454.11
31.00,77.95,431.62,431.62,427.34
17.86,45.00,461.10,460.36,460.51
14.59,42.44,470.86,470.86,466.93
17.47,43.56,460.87,460.87,461.64
13.61,42.34,465.91,465.91,468.63
11.26,44.92,474.69,474.69,471.81
15.68,43.70,470.29,470.29,464.66
11.87,40.67,479.18,479.18,472.15
25.10,71.77,433.87,434.65,439.43
26.03,59.07,441.76,442.16,441.98
15.21,52.75,458.84,458.84,462.51
26.55,73.67,433.44,433.44,436.33
5.21,43.65,486.08,486.08,482.55
31.39,69.59,434.47,433.43,429.40
24.27,74.99,438.26,438.26,439.80
19.21,58.49,451.07,450.46,453.81
26.10,66.25,436.98,439.33,439.52
12.84,39.54,468.22,468.22,470.86
22.70,59.92,436.70,436.70,447.38
11.02,40.00,468.09,468.09,473.82
28.40,59.27,440.18,441.39,437.86
14.78,41.17,465.70,465.97,467.02
23.81,57.50,448.72,448.72,446.28
26.43,58.41,444.74,444.74,441.51
9.88,39.66,478.31,477.28,475.88
19.11,50.16,450.42,451.07,456.69
14.45,43.71,463.60,463.60,466.75
18.83,63.91,448.15,448.15,452.69
24.60,63.94,439.63,439.63,442.83
30.57,69.71,439.38,439.38,430.76
23.29,68.51,442.06,441.13,443.58
25.94,60.75,439.46,439.46,441.58
26.71,77.95,434.14,434.34,434.66
29.58,66.51,435.47,435.47,433.49
11.56,40.71,473.80,474.18,472.66
18.36,53.16,457.94,457.94,457.00
14.20,42.86,468.63,468.63,467.46
24.26,47.93,445.77,445.84,448.63
18.11,52.08,453.23,455.43,457.78
22.34,52.84,449.06,449.06,450.31
22.45,41.54,460.07,460.07,453.80
26.82,64.96,427.51,427.51,438.71
22.83,58.62,446.37,446.15,447.59
15.12,39.16,463.78,463.78,467.09
31.16,64.96,437.72,436.26,431.30
31.70,69.13,433.18,432.97,429.02
26.82,69.23,436.36,436.36,437.32
21.08,70.32,440.59,440.59,446.76
26.77,68.08,436.91,436.22,437.78
32.51,73.56,435.23,435.23,426.19
31.93,70.40,435.76,433.73,428.21
26.55,69.45,435.10,435.10,437.71
19.31,67.71,446.23,446.23,450.64
13.34,40.80,474.47,474.47,469.60
21.14,67.71,445.12,445.12,447.51
31.63,68.30,426.86,426.86,429.41
8.90,40.77,479.18,479.18,477.19
7.11,39.90,484.69,483.78,480.53
17.81,37.20,467.40,465.53,463.14
9.15,40.11,475.01,475.01,476.98
28.90,71.94,432.67,432.80,432.88
21.00,70.02,447.29,447.29,447.00
14.02,42.86,467.29,467.29,467.76
21.81,60.27,441.85,441.85,448.79
30.53,73.21,432.26,432.20,429.69
10.97,40.60,478.69,478.69,473.71
22.99,60.77,443.72,444.19,446.61
29.67,66.51,434.80,434.80,433.34
10.27,41.44,479.30,479.30,474.63
9.68,39.96,470.22,470.22,476.12
4.96,45.87,481.88,481.88,482.25
16.57,41.79,452.84,452.84,463.76
27.69,69.98,433.47,433.47,435.59
17.03,47.83,453.04,455.82,461.01
3.99,39.64,492.06,492.06,485.94
11.60,40.27,473.89,473.89,472.74
5.64,40.62,483.17,483.17,482.80
8.39,36.24,480.21,479.49,479.53
28.85,58.33,446.83,443.39,437.40
24.20,60.95,441.04,442.54,444.49
7.45,43.13,485.60,485.60,478.90
25.31,61.50,437.03,437.03,442.41
24.05,64.69,438.36,438.36,443.53
12.66,41.20,467.58,470.37,470.63
13.00,39.28,473.60,473.60,470.67
24.87,65.75,442.99,441.83,441.78
9.61,39.04,479.13,477.91,476.54
10.75,45.00,481.96,481.96,472.65
18.19,43.96,461.47,460.44,460.28
25.44,69.59,443.22,440.78,439.56
26.10,44.57,446.49,446.49,446.58
27.32,66.54,435.55,436.98,437.34
12.08,40.75,476.84,476.84,471.76
15.07,39.30,464.97,465.84,467.13
20.63,43.77,448.25,448.25,456.18
23.74,49.50,463.40,463.40,449.00
14.85,43.13,470.37,470.37,466.26
21.92,48.14,449.65,449.65,452.55
24.43,58.95,441.40,441.40,444.75
10.04,39.13,478.83,477.14,475.78
18.31,52.90,459.61,459.61,457.17
29.85,71.58,432.26,432.26,431.38
21.88,59.39,442.92,442.92,448.96
13.35,39.58,472.21,470.42,469.98
26.94,66.48,440.12,440.12,438.01
16.33,42.44,462.44,462.44,463.96
25.32,54.50,444.24,444.43,444.68
30.30,73.67,434.50,432.95,429.93
28.42,73.40,438.25,438.25,433.23
15.91,38.62,461.77,463.72,465.92
16.19,36.99,465.43,464.96,465.97
10.15,41.17,476.83,476.43,474.92
11.82,42.86,470.30,471.27,471.52
8.66,36.25,479.66,479.66,479.07
5.33,39.33,484.49,486.01,483.75
22.54,61.27,450.01,450.01,447.22
22.01,60.84,441.90,441.90,448.26
27.37,65.06,440.50,440.50,437.74
28.29,68.67,436.40,436.40,434.99
15.34,41.96,468.33,468.33,465.80
20.61,44.63,456.68,456.68,455.93
12.52,41.44,470.37,470.65,470.79
14.46,53.82,463.83,464.20,463.44
19.68,44.34,468.27,468.27,457.62
15.74,43.34,463.24,463.24,464.67
12.00,39.35,476.64,476.64,472.36
10.03,42.18,475.74,475.74,474.80
14.29,37.85,468.14,467.68,468.93
24.51,51.86,446.74,446.74,446.92
17.70,49.21,455.97,455.97,459.41
28.59,80.18,431.55,431.55,430.73
14.02,43.34,466.38,466.38,467.61
16.68,43.14,459.83,459.83,463.13
12.81,45.51,469.27,469.27,468.97
6.25,40.07,494.39,494.39,481.94
9.41,43.50,479.57,478.57,475.43
19.47,43.43,451.38,451.38,458.27
12.38,41.62,466.45,470.12,470.97
23.14,63.94,446.57,446.57,445.32
9.63,41.14,477.55,477.13,475.82
13.67,38.53,470.39,470.39,469.77
12.27,41.17,474.36,474.36,471.30
14.46,45.87,458.69,458.69,466.03
14.57,42.18,465.55,466.09,467.05
9.87,41.82,475.58,475.58,475.19
29.23,74.22,432.45,433.72,431.58
10.24,41.17,479.78,479.78,474.77
33.30,68.14,426.88,426.88,426.61
29.05,64.84,442.58,442.58,434.94
12.63,48.04,464.60,464.60,468.45
25.97,69.34,435.02,435.02,438.73
6.86,41.38,487.49,487.49,480.47
18.28,41.10,460.03,460.03,461.06
15.33,42.28,467.36,465.00,465.72
10.33,40.00,475.88,476.29,475.00
8.31,40.46,476.72,476.72,478.30
25.16,54.20,442.23,442.90,445.05
14.85,45.01,460.19,460.19,465.65
15.48,53.82,462.87,461.53,461.70
23.37,65.46,447.07,447.07,444.44
22.88,50.23,444.87,445.69,450.23
25.32,63.77,441.50,441.50,441.66
24.44,59.21,445.82,445.82,444.64
30.17,64.79,437.65,437.91,433.04
14.84,41.23,466.14,465.91,466.89
27.96,49.16,438.64,439.18,441.91
18.67,44.06,455.18,457.98,459.43
22.56,66.48,437.73,437.73,445.49
24.91,58.69,435.96,435.96,444.01
26.11,70.36,445.37,445.37,438.16
19.95,58.46,447.10,447.10,452.56
32.63,69.89,434.97,433.28,427.18
14.21,39.16,473.87,473.87,468.64
28.18,60.07,441.61,441.61,437.98
6.67,39.37,486.84,486.84,481.45
13.27,52.75,464.82,464.82,465.82
10.37,37.83,473.08,474.20,475.64
26.11,52.36,448.98,447.29,444.02
18.68,53.29,456.09,456.22,456.41
12.12,41.17,475.92,472.78,471.56
12.07,38.25,470.36,470.36,472.60
7.54,40.72,485.92,485.92,479.53
13.61,38.47,466.51,466.51,469.89
13.61,41.74,471.79,471.79,468.83
12.25,44.58,475.24,475.24,470.23
26.10,74.16,433.76,434.84,436.94
26.09,60.23,444.94,442.94,441.49
32.14,68.31,430.93,431.54,428.53
21.55,44.57,446.84,446.84,454.35
5.74,40.62,481.15,481.15,482.63
31.41,74.16,431.83,432.54,427.87
34.97,73.56,433.08,432.41,421.99
12.32,41.26,470.27,470.27,471.19
31.32,71.29,430.46,430.46,428.96
27.97,58.84,446.11,446.11,438.74
26.23,70.72,445.28,445.28,437.84
24.80,61.02,438.96,438.96,443.44
28.35,71.14,429.21,429.21,434.08
29.84,74.87,435.05,435.05,430.32
30.95,71.58,430.47,430.47,429.50
13.38,40.12,468.15,468.15,469.75
28.54,69.59,433.30,433.30,434.26
28.52,57.82,442.39,440.75,438.13
28.62,59.14,443.78,441.61,437.53
16.78,41.35,462.17,463.13,463.54
10.08,43.14,475.43,476.67,474.40
13.07,43.13,471.47,471.47,469.30
17.99,43.79,457.34,459.78,460.68
15.46,44.60,462.72,463.81,464.74
27.11,66.49,435.79,435.79,437.71
22.60,69.84,435.13,435.13,444.32
32.09,72.86,434.78,434.78,427.14
20.03,47.45,450.60,450.60,456.01
22.63,70.47,441.92,441.92,444.07
27.06,70.47,430.82,430.82,436.50
14.24,45.01,463.16,465.27,466.69
25.79,59.43,439.07,441.24,442.27
8.62,39.54,483.03,483.03,478.07
30.34,75.08,437.26,437.26,429.40
23.55,62.96,445.15,444.69,444.94
26.21,65.12,442.47,441.63,439.70
12.89,48.14,463.77,463.77,467.97
25.68,58.41,445.84,443.08,442.79
18.85,48.06,451.77,451.77,457.82
11.49,35.76,472.45,472.45,474.40
13.60,42.86,472.27,472.27,468.48
22.56,60.29,447.15,447.15,447.50
26.43,77.17,431.26,431.26,435.40
12.20,44.77,469.41,469.41,470.25
30.17,75.08,438.89,438.89,429.69
21.55,60.27,446.39,446.60,449.23
23.48,72.99,437.10,437.10,441.80
21.19,52.30,445.92,446.82,452.45
13.61,42.34,465.91,465.91,468.63
9.82,36.18,477.22,476.38,477.11
8.02,39.04,479.53,479.53,479.25
11.20,41.54,479.03,479.03,473.01
29.21,72.25,433.40,432.87,432.25
22.21,48.14,448.33,448.33,452.06
11.34,43.67,472.94,472.94,472.08
19.13,50.78,455.01,453.12,456.46
15.19,42.03,464.97,465.30,466.04
27.49,71.94,432.95,432.95,435.29
16.57,43.70,465.78,465.78,463.14
9.38,43.70,481.52,481.52,475.41
6.43,36.08,484.41,484.25,482.93
11.86,40.27,474.57,474.57,472.30
10.42,41.46,479.24,479.24,474.37
29.85,68.24,429.64,432.83,432.47
23.10,59.43,443.60,444.65,446.86
22.25,60.77,444.05,444.05,447.88
11.43,44.78,471.09,471.09,471.56
18.06,50.16,450.53,450.53,458.49
30.52,70.40,433.20,433.52,430.62
16.58,45.87,457.80,457.80,462.41
29.72,68.24,426.54,426.54,432.69
25.60,73.67,434.39,434.48,437.95
22.18,65.46,447.30,446.17,446.47
17.89,44.78,457.74,457.74,460.53
26.56,56.57,442.74,442.74,441.88
29.60,69.82,436.01,434.44,432.38
10.96,41.93,475.47,474.68,473.29
19.78,54.42,457.68,457.26,454.16
25.79,75.60,441.34,438.96,437.00
13.09,54.30,471.00,471.00,465.63
24.40,71.14,436.68,436.68,440.83
8.27,35.77,478.13,478.13,479.89
22.86,58.96,448.76,446.09,447.42
12.57,39.18,475.18,473.07,471.44
12.65,44.03,466.01,466.01,469.72
7.40,40.72,483.51,482.52,479.77
30.36,68.08,429.15,431.74,431.65
12.71,43.80,470.24,469.53,469.69
18.56,42.18,456.61,456.61,460.23
26.88,73.56,430.63,430.63,435.80
15.92,44.85,467.41,467.41,463.87
29.70,57.35,433.27,433.27,436.27
9.53,40.23,475.36,477.23,476.29
17.72,39.99,461.70,461.70,462.38
7.55,39.22,482.19,482.19,480.00
28.43,73.18,436.61,433.49,433.28
7.84,40.07,488.70,488.70,479.23
8.80,39.42,479.42,479.44,477.80
24.44,52.84,440.20,440.20,446.72
13.97,38.47,464.30,464.30,469.28
5.89,35.77,479.86,479.86,483.96
24.03,62.44,442.77,443.31,444.29
25.43,70.17,432.66,435.51,439.38
5.74,37.80,490.81,490.81,483.55
19.44,59.21,448.04,448.04,453.18
14.72,39.00,464.93,464.93,467.83
19.15,57.76,458.66,458.66,454.15
19.96,39.53,457.94,458.18,458.71
9.08,42.49,481.46,481.46,476.32
6.57,43.65,481.46,481.46,480.23
18.94,46.93,441.41,441.41,458.04
4.87,42.85,482.22,482.22,483.39
9.37,40.11,473.85,477.22,476.60
9.06,39.30,480.41,480.41,477.39
18.88,62.96,456.18,456.18,452.92
28.47,67.69,430.67,430.67,435.00
25.67,69.88,441.35,441.35,439.07
24.31,63.86,442.69,442.69,443.35
16.70,50.88,456.18,456.18,460.58
25.04,63.86,442.11,442.74,442.11
20.97,47.43,448.22,448.22,454.41
14.44,41.20,466.86,466.58,467.59
23.54,67.83,426.24,426.24,443.37
9.68,41.44,479.58,477.11,475.64
5.85,41.55,487.30,485.38,482.14
13.68,45.08,467.02,467.02,467.62
23.16,57.76,446.97,445.98,447.30
30.88,69.51,432.98,433.28,430.29
9.76,40.71,470.95,470.95,475.74
33.58,77.54,433.75,433.75,423.07
18.22,44.34,459.64,459.77,460.11
22.55,47.45,447.42,447.42,451.70
34.43,68.51,431.39,431.39,424.56
26.57,48.06,440.58,441.06,444.64
20.92,70.02,441.30,441.30,447.13
15.07,43.48,463.86,464.91,465.77
9.47,41.40,480.24,480.24,476.01
27.34,71.64,438.76,438.76,435.64
22.96,45.01,450.37,450.37,451.80
28.81,64.96,427.91,427.91,435.31
14.82,40.00,458.46,458.46,467.33
24.92,63.94,441.07,441.07,442.28
26.86,71.14,426.97,426.97,436.63
32.12,69.98,429.86,429.86,428.02
5.71,40.77,486.33,486.33,482.64
26.43,66.48,436.59,438.12,438.88
21.40,59.21,444.15,444.15,449.84
24.55,58.86,445.80,445.80,444.57
26.41,68.24,434.98,436.20,438.34
21.97,58.12,448.91,448.91,449.22
24.60,48.78,442.23,442.23,447.77
9.13,39.16,480.37,479.15,477.32
18.92,44.63,451.64,451.64,458.82
24.88,63.31,441.54,441.54,442.56
27.40,69.84,432.64,434.32,436.13
21.45,45.09,453.15,453.15,454.35
21.33,60.10,451.95,451.95,449.67
17.10,48.98,457.22,456.07,460.51
9.86,41.01,472.52,476.29,475.47
21.50,59.87,450.20,447.36,449.45
25.38,65.34,444.73,443.31,441.04
24.53,74.78,440.08,438.73,439.42
27.16,71.32,432.13,433.09,436.06
25.51,64.27,444.76,444.76,441.17
19.40,64.63,451.68,450.01,451.49
30.85,68.94,426.10,426.10,430.53
7.82,41.16,475.66,475.66,478.91
26.92,63.73,440.35,440.35,438.94
11.57,41.54,474.85,473.32,472.38
19.39,60.10,452.04,451.03,452.98
29.37,74.78,434.84,434.49,431.15
31.84,77.95,433.28,433.28,425.90
31.06,67.17,434.56,432.26,430.75
13.49,44.63,469.30,468.17,468.09
22.07,50.78,449.96,449.96,451.44
9.72,39.66,475.88,477.16,476.15
20.42,45.01,451.28,451.28,456.13
6.45,35.77,483.12,483.12,483.00
13.20,40.83,471.55,470.25,469.83
18.90,47.83,455.94,455.94,457.81
20.31,49.69,455.37,455.37,454.80
6.33,42.07,484.57,484.57,481.15
11.37,39.16,480.54,480.54,473.49
18.64,43.79,465.13,465.13,459.57
