temperatura,vacuo,energia
18.48,52.05,458.62
8.87,41.82,477.97
8.51,40.78,471.11
13.9,39.59,465.0
15.11,43.67,467.82
23.49,64.63,450.28
10.11,52.75,470.35
22.46,58.49,448.46
32.95,67.9,425.89
25.45,74.33,435.12
22.07,70.72,442.88
29.86,69.34,433.57
11.42,40.43,490.02
18.34,50.59,457.17
30.27,64.69,435.67
22.04,57.32,447.27
29.78,70.98,436.32
23.29,68.51,441.17
23.7,70.32,439.59
11.36,41.48,465.37
27.76,44.89,442.83
25.77,69.04,445.35
5.84,43.02,489.05
10.98,37.5,472.34
32.09,70.4,434.64
13.95,41.49,465.24
11.35,38.91,474.22
26.87,69.23,433.89
7.19,40.81,487.15
16.59,43.56,465.03
18.56,42.18,456.61
23.66,61.86,444.27
22.88,63.91,442.5
30.47,70.02,435.72
9.27,42.02,474.93
28.53,68.08,438.91
5.74,37.8,490.81
13.61,42.34,466.17
18.64,67.71,442.26
24.67,68.61,450.64
15.49,54.3,464.24
8.39,36.24,480.69
12.08,49.83,467.54
10.1,41.17,479.95
8.74,40.03,481.07
24.47,57.85,445.37
12.86,40.6,472.04
19.7,43.79,464.41
13.63,43.22,464.62
13.08,44.9,472.01
30.3,73.67,431.57
4.23,38.44,489.0
31.91,69.89,429.29
20.76,59.21,447.67
15.12,39.16,463.78
25.77,62.96,442.83
23.25,59.87,444.23
22.73,63.73,441.75
6.22,38.68,483.55
11.02,41.26,471.93
18.6,43.56,464.67
25.43,72.39,436.1
20.08,44.6,461.07
16.5,49.39,462.48
25.61,58.86,444.77
32.96,69.75,435.56
29.98,76.09,432.0
19.31,43.56,463.35
30.78,69.14,433.96
17.7,48.98,454.41
11.99,38.28,469.23
29.63,69.71,435.27
23.67,68.67,445.32
30.54,70.17,434.62
8.39,36.3,479.57
16.71,40.55,464.13
19.44,48.7,444.9
22.18,62.39,452.31
22.63,58.41,445.43
12.64,40.69,474.08
23.62,61.87,447.93
10.34,41.74,480.84
10.63,40.67,483.27
22.32,69.48,439.49
6.15,40.07,494.3
27.49,71.94,428.27
5.5,39.04,478.65
21.82,63.9,447.29
30.33,70.36,438.47
21.04,74.87,443.44
25.22,71.85,438.71
16.34,41.16,462.56
23.48,66.44,443.21
10.51,39.04,479.15
22.72,69.13,438.01
18.27,50.16,451.76
13.61,42.34,466.17
23.01,66.54,442.47
21.87,66.86,453.62
9.94,41.44,481.24
18.41,42.04,465.64
14.91,39.28,469.34
18.9,62.96,455.88
4.44,38.44,486.53
6.48,40.27,486.68
11.97,42.32,467.98
16.46,48.6,449.58
26.62,70.36,441.28
13.9,39.59,465.0
22.3,50.78,449.86
12.53,42.03,469.18
23.99,67.69,437.1
8.64,38.56,484.45
30.14,67.69,426.91
16.3,39.63,464.11
23.09,63.76,443.86
28.57,51.43,450.04
25.48,60.29,443.77
23.88,67.9,446.34
12.05,40.55,472.19
16.09,48.78,454.23
34.3,74.67,427.84
31.27,73.77,430.32
19.19,50.16,449.52
30.0,61.5,435.6
31.62,64.05,439.09
24.6,67.69,440.22
25.95,65.61,443.88
12.64,40.69,474.08
26.71,70.72,438.72
29.74,70.32,432.69
25.44,61.25,441.77
31.04,66.54,431.66
21.18,45.01,451.62
21.82,65.27,447.43
27.37,65.06,440.5
27.0,59.15,440.58
18.06,52.08,452.19
7.66,41.92,485.11
13.67,41.48,463.97
15.63,44.9,457.44
8.0,34.03,487.17
20.24,58.41,449.49
21.8,65.94,448.66
12.05,48.04,464.14
23.02,63.47,443.66
13.33,39.39,471.23
27.26,73.18,429.92
13.0,48.79,464.12
11.46,39.82,477.99
8.9,36.24,479.03
22.41,70.98,441.51
18.19,66.54,449.22
29.07,72.51,439.8
30.7,74.22,432.51
17.29,52.72,467.23
17.58,44.9,459.78
32.07,70.94,432.33
11.96,43.41,469.34
13.22,40.83,472.72
14.22,44.99,460.53
33.95,80.18,432.22
18.28,44.71,462.28
17.9,67.71,449.73
21.58,67.25,446.15
30.29,71.58,434.27
15.49,39.0,462.28
17.68,39.08,454.18
27.55,65.59,440.53
29.41,59.27,441.99
22.78,59.92,440.87
26.2,74.67,430.22
4.78,42.85,479.09
27.9,63.13,439.76
23.75,61.5,442.35
19.94,44.63,455.58
25.21,51.43,439.01
16.84,39.63,466.06
27.51,71.29,430.42
25.53,71.85,431.26
7.65,41.01,475.89
15.91,71.14,458.15
23.43,54.42,454.86
29.59,71.77,426.62
21.25,67.71,444.98
15.2,39.0,463.88
23.26,63.56,446.67
19.86,41.67,462.86
17.48,58.95,449.26
30.9,73.42,433.44
34.33,69.05,430.56
23.77,59.21,440.08
16.88,43.67,463.81
27.1,79.74,431.51
4.89,45.87,482.69
21.35,57.76,452.57
25.01,66.56,434.74
17.7,48.98,454.41
13.22,44.92,471.43
21.28,70.32,439.0
29.93,69.48,430.75
14.53,39.0,464.86
20.16,60.1,453.36
11.2,41.38,476.87
6.71,40.96,486.58
21.17,58.16,452.02
23.75,66.54,436.57
9.08,36.18,477.26
16.26,38.58,462.54
8.44,41.17,486.15
26.16,59.87,446.73
16.18,43.99,460.81
16.5,44.2,458.3
19.47,43.43,451.38
27.05,59.15,441.39
11.21,44.03,471.79
26.17,59.92,444.96
5.72,39.33,490.76
32.46,74.33,427.87
7.91,37.8,483.49
15.89,41.7,463.33
26.76,71.94,432.49
27.07,65.59,442.71
20.32,44.6,460.21
10.88,44.63,469.57
26.5,66.75,431.23
8.52,38.5,482.96
24.67,58.05,444.57
32.89,73.68,426.46
28.92,66.51,439.09
10.82,39.96,468.57
12.07,40.81,475.96
29.56,52.84,436.46
13.7,44.47,468.79
10.02,39.96,473.22
18.01,54.9,455.91
10.31,37.5,474.16
24.6,63.78,448.65
26.57,44.57,445.49
26.56,65.59,443.66
20.79,50.66,454.78
14.77,39.16,470.39
27.71,69.51,435.04
26.47,69.51,433.89
27.28,72.58,431.27
16.6,53.16,457.26
23.35,71.85,441.28
27.54,75.6,440.87
30.92,80.18,432.35
25.35,66.56,436.51
15.85,49.69,464.72
27.97,58.84,446.11
7.93,41.01,476.37
23.19,42.67,446.95
23.93,64.45,449.97
18.94,46.93,441.41
6.93,43.13,486.94
21.43,59.14,448.51
24.33,77.54,435.38
17.4,43.14,457.59
9.06,40.02,478.01
12.75,42.86,475.09
25.18,61.08,445.64
20.9,67.71,446.57
26.64,58.69,439.32
14.4,41.26,462.78
26.05,65.59,437.04
6.49,38.68,485.95
28.29,68.67,436.4
24.26,66.44,445.63
25.18,62.96,444.37
14.64,39.31,462.72
25.21,60.37,436.23
26.27,59.44,443.67
24.82,72.99,435.68
23.59,43.77,448.42
22.99,68.67,446.67
24.18,59.92,438.85
30.48,70.04,429.85
8.62,39.54,483.03
7.81,39.64,482.22
16.64,39.64,463.49
20.35,67.45,447.64
12.87,39.3,471.48
13.65,41.58,460.8
24.8,65.48,442.02
10.59,25.36,470.96
30.85,67.45,430.8
17.16,58.86,453.76
14.72,43.34,464.22
20.8,50.9,457.0
22.06,43.43,448.92
13.05,34.03,472.69
12.75,44.03,465.86
10.03,42.02,471.07
21.14,48.78,450.35
17.19,58.86,451.87
16.0,40.66,457.12
21.61,41.54,458.47
27.33,66.17,443.89
20.74,58.12,449.91
7.84,41.39,485.66
11.08,38.16,473.32
15.29,41.35,466.27
11.02,40.0,468.09
29.99,74.9,435.87
8.39,52.72,473.45
25.76,57.32,440.26
30.27,64.05,438.68
20.77,69.51,442.82
20.25,55.5,455.13
23.89,65.18,438.97
14.96,43.02,467.16
21.77,42.23,462.51
10.63,37.5,474.81
26.05,56.85,438.59
28.93,74.78,437.34
12.04,40.1,474.28
5.21,43.65,486.08
5.99,35.79,484.82
6.23,40.96,488.82
14.82,40.0,458.46
24.19,68.94,439.52
25.21,75.6,445.84
21.94,58.79,447.52
15.01,43.56,465.84
25.77,63.31,439.98
25.95,59.27,444.19
24.78,66.49,436.62
6.07,38.91,483.56
23.27,67.9,447.25
14.58,41.92,462.69
29.12,74.87,435.51
25.02,60.77,441.21
24.77,48.92,448.25
6.14,39.4,485.94
10.53,40.64,477.99
14.94,40.0,456.41
30.21,69.4,438.18
18.01,62.26,451.14
14.64,42.77,464.27
30.65,71.98,429.85
27.61,49.16,441.18
10.87,42.02,472.63
9.23,42.44,481.29
25.37,44.89,442.38
22.64,72.24,434.36
17.37,57.76,456.4
24.54,57.85,444.93
24.66,48.78,449.11
31.38,70.83,431.33
16.86,39.63,466.68
33.01,69.88,433.5
20.1,58.95,446.7
32.63,73.88,435.75
4.73,41.31,486.6
32.48,62.04,446.48
20.01,56.65,457.01
33.63,77.54,431.81
31.54,67.32,433.02
28.85,66.54,437.79
22.21,61.87,446.62
29.09,72.43,427.3
14.03,49.15,467.16
10.74,41.46,479.94
14.05,40.35,475.54
20.67,63.56,450.7
10.55,41.26,473.6
25.59,61.5,439.14
19.75,57.32,443.63
7.7,40.72,482.79
30.74,79.05,430.69
9.44,41.4,473.94
26.88,59.21,437.11
9.76,41.01,467.6
31.54,77.24,431.27
22.74,61.87,444.59
12.72,40.71,466.99
21.24,63.47,442.94
15.25,39.16,471.05
27.5,49.3,439.77
23.74,62.96,449.48
14.28,42.74,467.22
23.06,63.9,447.36
28.41,75.6,440.28
24.26,69.71,438.6
11.64,41.44,478.99
10.14,42.02,472.17
32.86,66.44,429.32
17.28,44.06,462.05
10.41,44.68,474.7
14.07,42.86,467.47
18.4,43.96,464.63
20.69,50.78,447.58
20.79,50.66,454.78
29.08,67.07,435.57
23.19,45.61,454.62
16.85,50.9,460.68
26.88,60.96,446.77
23.09,51.19,443.22
25.48,58.95,440.42
26.88,79.74,434.77
21.29,59.04,445.37
22.3,57.19,445.1
29.29,57.19,435.69
8.6,36.66,481.86
26.9,77.95,434.18
25.74,63.73,441.9
24.45,66.49,449.22
12.14,40.27,472.84
8.99,36.66,481.03
6.76,37.49,484.85
29.91,70.02,437.63
31.6,73.17,433.37
12.28,42.34,467.03
8.28,40.77,480.15
5.82,40.78,470.02
19.83,51.19,449.0
11.1,44.85,477.03
5.19,40.78,482.46
11.9,39.16,477.75
29.23,77.3,438.05
22.03,64.79,450.25
20.59,42.04,463.08
16.31,52.75,456.58
25.77,58.59,449.65
31.84,77.95,433.28
28.85,57.19,436.8
8.12,43.02,483.55
10.51,39.04,479.15
15.04,41.35,467.96
11.1,40.0,477.2
24.49,49.82,451.42
21.43,60.95,449.12
25.83,70.47,434.45
23.31,60.08,452.65
27.01,43.77,440.64
13.26,45.51,472.17
10.18,43.5,476.91
11.21,40.75,479.2
20.45,58.96,454.26
4.41,42.07,488.36
12.37,43.22,468.49
26.65,66.48,436.65
10.36,43.67,477.23
22.32,59.8,451.21
18.95,65.48,452.85
17.79,43.52,458.57
7.39,39.81,482.99
31.82,71.29,431.23
12.42,40.24,469.59
26.96,65.34,441.81
19.83,59.44,446.15
7.8,39.04,482.31
19.28,65.46,448.91
15.08,42.77,461.68
6.37,40.81,489.18
10.17,41.46,480.13
28.61,72.29,446.77
27.55,68.08,432.59
28.52,70.02,441.98
24.49,70.79,430.54
24.14,63.21,440.74
14.79,44.06,465.77
11.02,44.58,481.85
29.23,74.22,428.9
16.55,41.66,465.14
27.35,77.95,431.72
9.21,39.72,478.96
19.15,56.53,456.4
14.32,71.14,460.02
30.91,76.2,434.94
19.85,56.53,457.17
10.01,43.7,479.24
18.91,43.14,460.19
19.51,66.51,448.04
23.66,69.51,435.39
11.63,41.5,477.3
14.45,43.34,462.16
31.75,74.99,430.82
5.66,40.62,485.18
20.53,65.06,446.64
29.51,75.6,431.18
26.06,54.5,451.67
14.38,44.84,471.6
27.67,69.59,437.29
9.71,42.44,481.03
12.54,40.1,475.02
15.86,43.67,465.46
23.92,61.87,441.15
7.51,43.02,485.38
13.12,48.04,463.46
17.73,40.55,462.69
25.94,77.24,432.88
30.3,69.51,431.12
8.83,41.14,474.51
15.84,52.72,464.93
31.19,69.68,440.97
30.27,70.32,430.22
29.07,51.43,438.79
28.62,70.94,432.71
21.75,60.27,444.19
24.14,63.21,440.74
24.2,59.43,440.66
16.57,43.7,465.78
25.91,58.98,442.65
30.54,67.45,431.35
14.46,44.78,459.31
14.0,40.8,474.87
32.31,62.04,449.65
22.11,59.8,450.62
28.38,64.05,439.83
26.12,70.47,434.67
29.84,58.9,440.93
15.79,49.21,457.7
4.84,38.5,491.23
13.55,40.1,474.59
20.96,61.27,448.77
25.06,78.92,434.55
6.07,41.14,480.19
23.78,60.27,441.56
24.51,51.86,446.74
22.81,71.85,440.4
24.34,48.78,448.54
22.59,59.43,442.0
28.21,73.06,430.46
7.46,41.26,482.83
31.46,70.79,425.68
10.8,39.58,478.24
23.69,77.54,440.21
13.08,39.82,476.96
26.2,72.24,432.65
14.38,40.1,467.28
15.0,50.88,459.37
20.38,66.54,448.93
7.69,38.06,483.54
18.71,53.16,455.7
7.97,39.04,483.3
15.59,52.75,458.87
13.83,40.78,458.85
25.95,59.14,438.46
14.94,42.77,462.67
7.31,42.18,477.38
5.86,40.62,480.71
22.54,51.95,447.29
11.52,40.75,477.19
13.75,41.49,469.02
13.04,45.09,467.44
21.83,41.1,453.38
21.14,58.98,448.31
16.71,42.99,465.09
5.28,45.87,479.91
29.08,66.54,430.16
24.42,65.94,439.63
6.94,38.91,485.12
20.03,62.26,447.4
27.75,77.24,433.57
16.37,36.99,463.76
20.21,58.12,453.19
5.17,35.57,491.32
19.41,49.39,449.24
15.98,39.64,467.22
20.03,57.19,446.46
25.09,58.95,443.26
24.04,51.95,450.07
24.7,58.46,439.7
25.33,71.32,434.68
25.73,66.54,437.07
5.35,35.79,483.2
32.45,68.3,431.79
12.41,37.92,470.49
24.44,69.13,434.34
17.92,44.2,455.37
20.97,47.43,448.22
31.32,71.29,430.46
26.84,70.36,442.17
25.2,59.21,444.16
29.05,65.74,440.74
27.37,63.73,437.24
27.34,59.87,448.26
23.38,52.84,440.28
29.72,77.95,434.99
26.44,71.64,435.61
23.92,66.54,441.9
22.99,61.02,440.85
14.03,44.88,465.51
24.79,75.6,440.05
10.17,41.46,482.36
13.01,41.49,466.5
13.3,50.59,469.13
31.05,69.13,426.31
25.21,51.43,439.01
16.9,38.58,459.87
27.2,78.05,430.55
10.02,41.44,479.63
28.42,73.4,438.25
10.73,25.36,469.43
10.15,41.62,463.89
20.68,42.04,464.14
14.03,49.83,463.71
28.73,50.05,436.35
13.42,40.78,459.04
29.64,69.51,428.69
21.79,46.21,449.99
28.11,69.84,427.33
13.45,45.87,464.59
14.79,41.04,456.97
27.98,67.9,436.08
16.68,53.16,456.29
22.59,70.32,437.39
23.49,73.18,437.01
22.76,57.5,451.7
13.07,38.47,468.9
23.14,60.27,442.59
10.54,34.03,478.77
10.36,43.67,478.27
27.6,67.25,438.42
24.27,63.87,420.26
14.24,39.58,469.94
7.94,43.65,479.8
18.27,51.43,460.41
17.46,40.22,461.74
27.24,66.75,433.65
30.35,71.32,434.62
23.93,64.45,449.97
19.64,56.65,456.03
16.81,38.52,459.01
22.18,59.39,440.94
26.54,69.48,432.56
29.55,67.69,428.77
14.18,40.69,471.52
10.6,41.17,478.47
9.95,43.56,477.88
16.5,39.72,459.06
25.85,67.69,434.0
11.2,35.76,473.33
30.09,76.2,434.68
32.77,72.86,433.84
17.86,52.9,457.42
23.07,57.5,447.49
22.57,68.3,440.81
24.99,48.92,443.12
28.14,51.43,445.33
9.76,41.01,467.6
16.16,25.88,461.86
22.88,69.45,441.76
24.34,50.16,445.33
25.26,65.61,447.34
30.75,71.22,437.96
22.43,63.94,444.53
26.62,65.12,441.22
21.85,59.8,454.26
23.64,60.95,447.86
18.62,44.06,452.82
12.73,37.73,470.89
12.65,44.34,473.46
22.69,59.44,446.43
18.77,50.66,457.07
16.02,71.14,456.35
17.54,42.42,471.28
8.07,41.01,474.09
9.12,41.49,475.69
14.64,39.58,467.8
13.79,45.08,469.55
7.49,39.81,483.59
10.57,41.55,475.6
25.68,70.32,431.32
23.21,58.66,450.92
13.78,45.51,468.17
23.36,74.93,443.78
29.54,74.99,432.94
22.1,74.87,442.83
16.38,47.45,450.69
26.18,52.36,453.54
6.61,36.24,483.12
20.24,56.65,455.49
32.15,69.98,429.86
25.21,49.82,450.75
29.1,77.95,431.28
8.58,38.38,482.26
23.86,45.87,446.67
24.49,65.06,441.4
19.51,48.78,453.27
22.5,70.94,442.4
12.65,44.03,466.01
14.57,44.84,464.58
25.47,59.92,439.84
12.57,39.3,473.67
25.63,58.86,443.84
17.9,67.71,449.73
16.14,44.63,463.5
32.07,71.29,426.96
18.81,61.87,448.49
6.37,41.03,490.47
29.58,66.51,435.47
9.62,41.01,467.34
25.74,65.38,452.94
12.17,41.58,463.03
30.03,70.02,436.88
24.33,46.93,447.43
30.44,56.24,429.34
13.25,44.92,469.18
23.66,72.43,439.02
11.24,42.34,469.3
28.55,65.27,437.62
22.22,66.05,442.95
9.78,52.75,469.58
32.83,74.33,427.36
18.9,58.46,449.32
17.57,43.7,463.64
26.24,70.36,437.31
24.94,74.33,435.21
31.21,66.44,430.7
22.1,65.48,447.0
27.4,69.13,426.18
9.47,41.4,479.68
7.36,40.07,489.45
16.3,39.63,464.11
27.62,71.14,434.72
14.39,44.85,465.88
27.29,67.32,437.26
16.41,41.48,451.93
10.94,39.04,479.2
22.2,44.05,445.32
13.91,39.35,469.02
7.51,41.01,477.61
31.35,67.32,439.81
8.07,43.41,467.56
6.17,36.25,483.77
12.88,38.53,466.92
12.12,38.28,471.19
15.1,41.35,466.14
24.94,63.94,438.55
5.79,45.87,480.97
27.58,65.27,441.3
28.0,69.05,427.71
7.1,35.77,480.36
22.57,68.3,440.81
4.86,39.4,488.63
21.93,58.96,453.42
15.55,42.03,460.84
27.43,64.96,431.21
8.61,37.49,477.13
26.41,60.93,436.71
20.12,69.45,442.89
25.06,62.39,438.31
19.7,54.42,450.48
12.19,40.05,473.92
18.99,62.1,453.09
20.92,70.02,437.96
27.4,77.24,435.74
21.79,61.45,446.99
18.4,43.69,462.05
21.39,52.3,447.77
20.46,51.43,444.88
25.22,69.88,443.24
25.91,75.6,443.2
31.08,59.57,442.88
27.29,71.32,435.25
17.69,44.34,464.13
8.82,43.56,482.71
26.91,74.99,437.06
28.18,49.3,438.91
17.36,41.23,459.1
20.36,60.1,454.25
12.42,41.58,466.05
18.88,40.79,459.06
33.74,69.98,425.35
17.3,42.24,469.21
25.61,47.43,442.96
7.28,40.67,493.3
14.38,40.1,467.28
13.97,45.01,461.96
28.43,63.31,432.62
5.64,40.62,483.17
19.98,49.15,457.54
32.44,77.95,434.97
26.55,73.67,433.44
21.12,63.91,447.64
22.1,74.87,442.83
13.56,39.58,473.16
22.86,66.48,435.56
28.67,69.14,433.79
12.25,48.79,469.52
11.7,43.41,467.51
14.38,45.09,464.27
19.77,56.65,457.09
13.16,40.71,475.87
14.5,40.66,463.53
30.37,67.45,431.38
10.1,40.22,478.43
23.14,62.26,444.38
13.58,39.28,472.17
7.49,39.81,483.59
13.51,43.22,465.89
12.11,38.28,469.93
22.86,62.52,447.96
13.78,40.0,458.74
14.71,52.72,462.34
7.62,44.71,486.07
14.64,45.0,475.98
15.43,39.16,470.74
25.16,74.33,436.15
20.55,48.98,452.52
24.63,59.57,440.67
9.56,44.71,487.92
24.6,57.32,442.64
23.68,68.12,441.54
9.71,42.44,481.03
21.43,63.94,445.29
28.86,49.3,435.75
16.54,42.86,465.26
12.26,43.48,467.83
11.2,42.02,472.27
31.12,69.13,429.41
23.79,58.49,445.87
24.78,66.49,436.62
19.39,51.43,456.25
12.03,40.1,474.94
21.22,43.43,448.06
16.07,65.46,450.54
10.76,44.58,483.54
8.27,35.77,478.13
19.91,51.19,449.23
19.71,43.43,456.24
24.39,60.84,442.72
6.57,42.07,483.86
16.05,38.28,466.75
23.76,51.19,442.9
26.32,69.71,441.25
31.43,69.89,426.15
27.45,59.74,450.46
18.94,48.7,451.38
16.23,43.72,457.9
12.5,41.38,474.4
6.18,41.38,490.81
25.79,70.4,437.98
19.21,60.07,452.84
30.06,67.25,435.02
5.78,45.87,483.27
25.32,48.41,443.04
22.69,64.45,450.65
14.79,39.52,469.47
7.79,41.16,471.82
27.54,75.6,440.87
22.01,58.46,443.75
17.3,46.21,456.77
11.45,41.17,476.0
24.74,59.39,437.49
11.44,40.55,477.68
31.97,79.74,435.99
13.97,38.47,464.3
11.36,40.75,477.5
21.89,63.94,447.74
8.11,41.92,483.52
10.35,39.82,477.14
25.76,57.32,440.26
17.9,58.33,452.28
11.01,37.5,474.36
32.33,69.68,439.79
27.44,66.56,428.0
15.62,38.28,465.7
10.16,40.8,477.49
16.73,54.3,460.54
11.27,40.69,476.27
22.04,69.51,446.34
16.18,43.99,460.81
25.04,66.48,433.83
15.14,49.64,463.58
11.73,40.64,477.06
26.21,56.85,439.55
5.79,38.68,487.4
23.56,60.77,443.13
20.15,49.5,462.65
19.77,49.39,451.05
30.57,69.82,437.62
28.09,70.02,437.83
21.75,67.45,445.1
29.9,64.79,441.41
28.69,73.18,431.36
11.64,40.22,477.52
9.26,41.66,483.51
23.55,51.95,449.54
31.88,66.44,427.83
29.87,73.91,431.8
13.12,52.75,462.7
17.45,50.9,458.67
14.35,46.18,461.74
16.23,43.69,466.22
20.43,63.09,445.58
10.68,38.38,476.22
29.59,74.78,436.77
6.4,41.17,488.82
18.93,67.71,444.55
10.36,41.46,478.27
11.95,39.82,474.56
26.33,64.45,450.67
21.03,63.86,450.64
26.65,74.67,435.9
18.14,49.78,451.44
28.16,70.98,435.04
20.37,52.05,456.11
27.62,63.9,442.89
28.69,67.25,436.21
10.38,40.92,466.46
29.08,70.83,430.91
22.35,66.44,445.27
17.75,49.78,452.02
15.14,44.21,463.1
23.68,49.02,440.68
28.29,69.13,429.28
13.39,49.83,466.04
25.94,60.75,439.46
13.97,53.82,465.24
21.89,58.62,450.05
31.16,67.45,428.35
26.22,67.45,440.17
16.48,68.28,449.7
13.09,39.85,475.89
16.92,44.6,460.17
20.48,60.29,455.51
14.38,40.66,463.1
31.75,74.99,430.82
4.08,35.19,489.44
24.49,65.06,441.4
23.01,59.44,445.72
28.86,73.4,439.33
5.49,38.5,490.84
29.79,67.69,428.71
13.72,45.01,464.59
26.26,65.06,440.92
5.4,39.4,485.86
34.6,64.96,427.65
24.22,61.86,442.65
9.51,39.22,474.12
13.48,46.18,464.58
19.35,50.12,447.43
22.88,63.91,442.5
10.5,40.8,482.85
13.77,41.58,459.75
27.44,59.74,452.0
9.64,40.56,483.39
26.61,72.43,427.61
26.88,69.51,436.3
26.43,66.48,435.59
15.12,39.16,463.78
20.35,50.9,453.5
21.35,57.76,452.57
20.2,50.9,454.09
27.02,61.86,442.67
13.99,45.0,472.55
27.3,65.12,442.78
23.03,44.89,447.81
14.66,42.77,463.6
29.17,67.45,435.08
24.44,52.84,440.2
22.74,61.02,445.56
13.74,39.35,471.11
26.59,66.49,439.72
9.15,40.11,475.01
27.51,49.3,437.09
9.57,52.75,470.93
29.72,77.95,434.99
27.18,59.27,439.69
29.05,65.74,440.74
17.75,42.24,468.86
9.52,41.26,475.44
28.62,69.98,432.11
29.34,70.94,433.57
20.31,69.94,446.87
26.17,48.6,439.86
16.82,47.45,449.57
6.93,40.67,494.61
27.0,69.4,433.83
8.95,38.56,475.43
7.91,38.56,485.95
20.74,58.2,450.4
27.25,50.05,439.63
6.8,39.37,487.33
22.87,71.29,442.27
8.97,44.03,474.61
25.86,61.08,449.67
30.69,69.89,431.01
15.24,39.39,469.79
13.92,39.39,471.81
28.46,49.16,438.02
26.29,56.85,439.86
26.85,75.6,433.48
24.62,72.24,432.13
27.71,75.23,440.7
31.24,72.39,430.7
12.47,38.25,469.56
18.11,44.85,458.85
16.91,43.96,465.86
26.86,71.14,426.97
16.49,49.39,461.54
18.36,56.65,456.49
24.43,59.87,441.61
24.27,60.37,437.78
12.76,43.7,475.73
18.71,53.16,455.7
29.73,73.06,432.73
16.62,54.3,459.59
26.72,67.79,444.68
14.54,41.16,463.9
25.82,69.68,439.58
21.6,43.43,446.4
25.14,63.47,443.93
20.58,39.53,460.1
27.44,52.3,441.75
12.41,40.96,473.59
11.54,40.05,474.29
24.74,69.13,431.24
20.08,58.79,451.21
22.86,47.43,452.53
23.1,72.99,440.46
13.44,41.14,461.44
13.39,44.58,474.7
11.48,37.92,472.9
22.72,64.15,453.13
17.35,39.72,459.83
27.91,64.79,440.53
13.09,43.67,474.45
8.91,43.52,478.38
9.68,39.96,470.22
9.73,38.56,479.78
16.89,49.21,458.25
11.44,44.2,476.12
30.74,71.77,434.89
14.79,39.52,469.47
21.9,55.5,456.52
20.84,51.19,448.98
26.89,70.32,435.56
30.61,77.17,430.46
30.19,68.08,431.25
17.37,41.23,461.08
23.58,70.04,435.47
14.79,47.83,463.22
23.77,61.87,445.72
17.85,46.48,458.16
29.3,74.16,431.32
23.96,51.3,451.11
32.31,77.95,430.15
11.76,39.28,478.07
5.76,40.07,494.67
25.99,63.07,442.16
9.05,40.67,486.55
5.47,38.68,485.7
13.58,49.83,465.82
19.04,50.12,446.59
26.86,71.32,430.44
16.34,47.45,448.59
17.29,52.72,467.23
23.33,54.2,440.11
16.94,50.59,460.64
13.78,45.78,462.88
11.82,41.67,476.73
3.94,39.9,488.81
22.39,58.18,448.37
28.84,74.67,428.98
31.46,71.29,430.8
17.57,62.1,453.3
18.21,49.69,454.25
26.94,59.87,448.6
21.05,58.33,447.66
8.51,39.96,475.96
28.41,61.47,442.54
20.0,56.53,454.86
6.07,41.14,480.19
30.26,71.77,429.27
20.0,56.53,454.86
12.38,45.51,470.46
8.82,34.69,481.44
4.84,38.5,491.23
17.3,43.72,456.55
9.31,41.39,480.25
15.56,41.1,467.32
12.24,41.2,473.22
24.43,47.45,446.45
19.82,46.63,456.36
23.38,65.06,443.8
11.77,39.39,478.51
6.22,39.85,443.73
19.65,63.91,444.9
17.02,44.85,459.98
21.36,68.28,445.91
17.35,47.83,453.96
11.71,41.44,474.22
26.07,71.37,439.25
12.55,38.91,474.35
16.82,41.66,465.64
23.79,58.2,446.88
21.01,60.1,450.99
15.21,43.5,464.08
22.61,44.05,443.45
25.03,47.93,443.55
29.12,66.51,432.88
16.34,36.99,466.24
13.69,41.74,471.84
12.0,39.96,471.42
25.16,77.3,439.37
17.31,58.49,456.84
12.74,41.38,475.63
32.89,66.44,431.54
18.1,48.06,454.04
9.34,38.08,482.06
30.05,69.34,436.82
10.62,39.58,479.91
13.78,41.16,460.44
7.81,39.64,482.22
25.03,59.21,446.33
23.25,72.99,438.51
24.37,65.61,443.13
26.46,74.67,431.65
31.61,69.04,439.19
29.53,77.54,432.89
15.03,40.66,459.46
18.97,43.43,453.2
30.36,74.87,435.31
31.67,69.89,426.35
14.85,40.69,469.3
13.62,40.2,465.74
16.34,41.48,453.6
21.85,69.94,443.0
31.46,70.79,425.68
14.07,40.78,456.71
5.73,40.35,490.5
25.04,70.36,436.47
17.8,43.72,458.92
19.04,43.43,453.32
17.49,63.94,452.71
29.87,73.91,431.8
22.33,45.87,447.02
27.26,73.18,429.92
12.91,41.16,472.71
12.75,42.86,475.09
13.83,41.23,466.2
18.68,59.14,452.85
26.1,74.16,437.18
16.69,40.56,469.9
27.23,71.77,427.39
16.58,43.99,458.67
10.11,44.85,478.71
7.62,44.71,486.07
7.57,41.14,477.8
24.51,68.63,447.66
24.73,74.22,436.55
22.44,58.16,452.71
14.94,41.35,466.73
17.4,44.58,468.01
20.21,69.94,447.06
21.5,44.58,460.2
25.03,47.93,443.55
31.33,73.03,438.49
26.08,70.32,434.24
14.59,42.44,470.86
28.45,69.23,436.96
17.78,50.66,456.11
15.58,40.66,460.61
20.35,67.71,446.42
16.7,40.56,470.84
15.4,38.73,469.18
22.91,68.63,448.01
32.45,66.44,429.99
29.25,66.51,441.7
